t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784827440229,9,A,A3,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784827532959,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=50;outcome=correct_reject;rt_ms=576
1784827532965,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=51;kind=go;shape=square
1784827534793,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=51;outcome=hit;rt_ms=740
1784827534799,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=52;kind=nogo;shape=diamond
1784827536602,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=52;outcome=correct_reject;rt_ms=684
1784827536607,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=53;kind=go;shape=diamond
1784827538425,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=53;outcome=hit;rt_ms=638
1784827538431,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=54;kind=nogo;shape=triangle
1784827540232,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=54;outcome=correct_reject;rt_ms=498
1784827540237,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=55;kind=go;shape=triangle
1784827542061,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=55;outcome=hit;rt_ms=454
1784827542067,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=56;kind=nogo;shape=diamond
1784827543893,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=56;outcome=correct_reject;rt_ms=734
1784827543898,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=57;kind=go;shape=diamond
1784827545719,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=57;outcome=hit;rt_ms=601
1784827545724,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=58;kind=nogo;shape=circle
1784827547525,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=58;outcome=correct_reject;rt_ms=544
1784827547531,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=59;kind=nogo;shape=diamond
1784827549360,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=59;outcome=correct_reject;rt_ms=798
1784827549364,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=60;kind=go;shape=diamond
1784827551168,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=60;outcome=hit;rt_ms=481
1784827551173,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=61;kind=nogo;shape=square
1784827552975,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=61;outcome=correct_reject;rt_ms=538
1784827552980,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=62;kind=nogo;shape=diamond
