t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784735111262,1,A,A1,,,,,,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html
1784735111262,1,A,A1,,,,,,NBACK1_PILOT,CPT_RUN_START,trials=84;seed=10;soa_s=2.5;task=nback1
1784735249451,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=55;kind=go;shape=diamond
1784735251952,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=55;outcome=hit;rt_ms=670
1784735251956,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=56;kind=nogo;shape=triangle
1784735254467,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=56;outcome=correct_reject;rt_ms=857
1784735254472,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=57;kind=nogo;shape=diamond
1784735256976,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=57;outcome=correct_reject;rt_ms=888
1784735256980,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=58;kind=nogo;shape=triangle
1784735259481,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=58;outcome=correct_reject;rt_ms=950
1784735259486,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=59;kind=go;shape=triangle
1784735261986,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=59;outcome=hit;rt_ms=749
1784735261991,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=60;kind=nogo;shape=square
1784735264493,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=60;outcome=correct_reject;rt_ms=680
1784735264498,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=61;kind=go;shape=square
1784735267015,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=61;outcome=hit;rt_ms=489
1784735267021,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=62;kind=nogo;shape=circle
1784735269521,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=62;outcome=correct_reject;rt_ms=769
1784735269526,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=63;kind=nogo;shape=square
1784735272046,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=63;outcome=correct_reject;rt_ms=1682
1784735272050,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=64;kind=nogo;shape=triangle
1784735274551,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=64;outcome=correct_reject;rt_ms=694
1784735274557,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=65;kind=nogo;shape=square
1784735277067,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=65;outcome=correct_reject;rt_ms=994
1784735277071,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=66;kind=go;shape=square
1784735279579,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=66;outcome=hit;rt_ms=748
1784735279584,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=67;kind=nogo;shape=diamond
1784735282085,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=67;outcome=correct_reject;rt_ms=621
1784735282090,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=68;kind=nogo;shape=circle
1784735284598,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=68;outcome=correct_reject;rt_ms=825
1784735284603,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=69;kind=go;shape=circle
1784735287115,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=69;outcome=hit;rt_ms=671
1784735287120,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=70;kind=nogo;shape=triangle
1784735289620,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=70;outcome=correct_reject;rt_ms=586
1784735289625,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=71;kind=nogo;shape=diamond
1784735292136,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=71;outcome=correct_reject;rt_ms=828
1784735292140,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=72;kind=nogo;shape=triangle
1784735294648,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=72;outcome=correct_reject;rt_ms=1546
1784735294653,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=73;kind=nogo;shape=square
1784735297153,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=73;outcome=no_response
1784735297159,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=74;kind=nogo;shape=diamond
1784735299680,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=74;outcome=correct_reject;rt_ms=1126
1784735299685,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=75;kind=nogo;shape=square
1784735302186,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=75;outcome=correct_reject;rt_ms=1795
1784735302191,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=76;kind=nogo;shape=circle
1784735304706,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=76;outcome=correct_reject;rt_ms=1275
1784735304712,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=77;kind=go;shape=circle
1784735307214,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=77;outcome=hit;rt_ms=887
1784735307219,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=78;kind=nogo;shape=square
1784735309719,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=78;outcome=correct_reject;rt_ms=942
1784735309726,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=79;kind=go;shape=square
1784735312227,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=79;outcome=hit;rt_ms=699
1784735312232,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=80;kind=nogo;shape=circle
1784735314748,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=80;outcome=correct_reject;rt_ms=616
1784735314753,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=81;kind=nogo;shape=diamond
1784735317253,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=81;outcome=correct_reject;rt_ms=659
1784735317258,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=82;kind=nogo;shape=square
1784735319768,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=82;outcome=correct_reject;rt_ms=765
1784735319772,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=83;kind=go;shape=square
1784735322281,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=83;outcome=hit;rt_ms=754
1784735322285,1,A,A1,,,,,,NBACK1_PILOT,CPT_RUN_END,go_acc=1.000
